Region,Business,Name,Status,RiskCategory,RiskSubCategory,DiscoveryDate,OccurrenceStartDate,NetLoss,RecoveryAmount,EstimatedGrossLoss
EMEA,Retail Brokerage,LE_06_2,Under Review,"Clients, Products and Business Practices",Product Flaws,2007-01-01,2007-01-02,296555,83035,291100
North America,Retail Banking,LE_06_3,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2007-01-03,2007-01-05,87472,27116,98400
Asia Pac,Retail Brokerage,LE_06_4,Not Started,"Clients, Products and Business Practices",Advisory Activities,2007-01-04,2007-01-06,229395,59643,230700
EMEA,Retail Banking,LE_06_5,In Progress,"Clients, Products and Business Practices",Product Flaws,2007-01-08,2007-01-11,137925,34481,137400
North America,Trading and Sales,LE_06_6,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-01-12,2007-01-14,292160,90570,288300
North America,Retail Brokerage,LE_06_7,Approved,"Clients, Products and Business Practices",Advisory Activities,2007-01-16,2007-01-19,321308,70688,321700
North America,Retail Banking,LE_06_8,Not Started,External Fraud,Theft and Fraud,2007-01-19,2007-01-22,255902,53739,257500
North America,Trading and Sales,LE_06_9,Not Started,"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",2007-01-21,2007-01-23,543622,184831,546600
Asia Pac,Retail Banking,LE_06_10,Rejected,Employment Practices and Workplace Safety,Diversity and Discrimination,2007-01-29,2007-01-30,191051,61136,197000
North America,Retail Banking,LE_06_11,Not Started,External Fraud,Systems Security,2007-01-30,2007-01-31,3029,1060,3000
North America,Retail Banking,LE_06_12,Under Review,External Fraud,Theft and Fraud,2007-01-31,2007-02-01,143950,40306,142300
North America,Retail Banking,LE_06_13,Rejected,Business Disruption and System Failures,Infrastructure and Systems,2007-02-08,2007-02-11,50247,18591,60200
EMEA,Retail Banking,LE_06_14,In Progress,External Fraud,Theft and Fraud,2007-02-10,2007-02-11,22926,6878,27000
North America,Retail Banking,LE_06_15,Approved,External Fraud,Theft and Fraud,2007-02-14,2007-02-16,253468,68436,247700
North America,Retail Brokerage,LE_06_16,Under Review,"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",2007-02-15,2007-02-16,433730,104095,436200
North America,Commercial Banking,LE_06_17,Not Started,External Fraud,Systems Security,2007-02-16,2007-02-17,190185,45644,190400
EMEA,Retail Banking,LE_06_18,In Progress,External Fraud,Theft and Fraud,2007-02-17,2007-02-18,12123,2546,24700
EMEA,Retail Banking,LE_06_19,Approved,"Execution, Delivery and Process Management",Vendors and Suppliers,2007-02-18,2007-02-21,36184,5789,42800
North America,Retail Banking,LE_06_20,Under Review,Employment Practices and Workplace Safety,Employee Relations,2007-02-18,2007-02-19,228425,86801,238300
North America,Commercial Banking,LE_06_21,Not Started,"Execution, Delivery and Process Management",Transaction/Data Management,2007-02-23,2007-02-26,600346,174100,610400
Asia Pac,Commercial Banking,LE_06_22,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2007-02-25,2007-02-26,142393,54109,149000
North America,Retail Banking,LE_06_23,In Progress,External Fraud,Theft and Fraud,2007-02-25,2007-02-27,5868,2289,5800
North America,Retail Banking,LE_06_24,Under Review,External Fraud,Theft and Fraud,2007-02-27,2007-03-01,187961,75184,186500
EMEA,Retail Banking,LE_06_25,Approved,Employment Practices and Workplace Safety,Safe Environment,2007-02-28,2007-03-03,46490,11158,47400
